"grpvar","term","grp","condval","condsd","est.mean","CI.84"
"Variety","(Intercept)","Zeus",1022.74427458639,52.7068255703992,2803.64684507034,73.2624875428549
"Variety","(Intercept)","ElDorado",64.1508541561719,63.2452779712362,1845.05342464013,87.9109363800183
"Variety","(Intercept)","Cascade",18.7087646673082,36.7918693263909,1799.61133515127,51.1406983636834
"Variety","(Intercept)","Sterling",-57.5406859406538,57.843415793824,1723.3618845433,80.4023479534154
"Variety","(Intercept)","Comet",-64.208544957078,81.0432860596571,1716.69402552688,112.650167622923
"Variety","(Intercept)","Magnum",-111.977345195989,84.5050514353935,1668.92522528797,117.462021495197
"Variety","(Intercept)","MountRainier",-177.344111405324,112.550717241115,1603.55845907863,156.445496965149
"Variety","(Intercept)","Vanguard",-321.26415654219,112.550717241115,1459.63841394177,156.445496965149
"Variety","(Intercept)","MountHood",-373.269049368828,153.782070656997,1407.63352111513,213.757078213226
